,Région,Service AIOT,Sous-service AIOT,Equipe AIOT,Thématique AIOT,Code_AIOT,Siret,Raison sociale ,Nom_usuel,Adresse 1,Adresse 2,Adresse 3,Code postal,Commune,Courriel d'échange avec l'administration,Coordonnées X,Coordonnées Y,Référentiel géographique,AIOT publiable,Statut Seveso,Statut IED,Régime autorisé,Régime en vigueur,Site prioritaire PPC,Site à enjeux PPC,Autres marqueurs de priorité,Carrière,POI,PAC,PPI,PPRT,SUP seveso,Biocides,Fluides frigo,Nanos,Reach,Garanties financières,Acte valide GF,Rubrique IED principale,Alinéa rubrique IED principale,BREF principal,Marqueurs régionaux,longitude,latitude,nb_points,groupe_id,geometry
0,PROVENCE-ALPES-COTE D'AZUR,DREAL PACA,UD 13,Pôle Déchet Matériau,ICPE,6409406,48335930300011,04 Recyclage,Centre de Compostage - 04 Recyclage,Parcelle cadastralle 82 b Section AX,Quartier les Blanchons,,13790,Peynier,adresse non renseignée,914099,6266603,Lambert 93,Oui,Non Seveso,Non,E,E,Non,Non,,Non concernée,,,,,,,,,,,-,,,,"est_un_P,Indic.Région5,a_PPC_2017",5.645083345154286,43.46624661690145,1.0,896.0,POINT (5.645083345154286 43.46624661690145)
1,PROVENCE-ALPES-COTE D'AZUR,DREAL PACA,UD 83,Pôle Carrières - déchets,ICPE,6413596,48335930300011,04Recyclage,Dépôt de Cendres  04Recyclage,RD 554 secteur des Bourdas,,,83560,Saint-Julien,adresse non renseignée,932082,6289703,Lambert 93,Oui,Non Seveso,Non,E,E,Non,Non,,Non concernée,,,,,,,,,,,-,,,,"a_PPC_2017,Indic.Région5",5.877460969427028,43.66830346465119,1.0,1009.0,POINT (5.877460969427028 43.66830346465119)
2,PROVENCE-ALPES-COTE D'AZUR,DREAL PACA,UD 84,Unité risques accidentels,ICPE,6401420,-,2D PIECES AUTOS,2D PIECES AUTOS (ex MATTEI et FILS),ZAC du Cabrau,Avenue Marcel Pagnol,,13310,Saint-Martin-de-Crau,adresse non renseignée,845634,6283093,Lambert 93,Oui,Non Seveso,Non,A,E,Non,Non,,Non concernée,,,,,,,,,,,-,,,,Indic.Région5,4.804250173575097,43.63190858483618,1.0,114.0,POINT (4.804250173575097 43.63190858483618)
3,PROVENCE-ALPES-COTE D'AZUR,DREAL PACA,UD 84,Unité carrières,ICPE,6401616,30530496600024,4M PROVENCE ROUTE,CARRIERE 4M PROVENCE ROUTE (Pernes),Sainte Marie,,,84210,Pernes-les-Fontaines,qse@4mprovence-route.fr,867163,6327143,Lambert 93,Oui,Non Seveso,Non,A,A,Non,Non,,Carrière à ciel ouvert hors d'eau,,,,,,,,,,Carrière,Non,,,,Indic.Région5,5.085264893382289,44.02342229694119,1.0,455.0,POINT (5.085264893382289 44.02342229694119)
4,PROVENCE-ALPES-COTE D'AZUR,DREAL PACA,UD 06,Pôle DACEN,ICPE,6410239,-,A SUPPRIMER,A SUPPRIMER,A SUPPRIMER,,,06340,La Trinité,HJGVH@hhh.fr,1049773,6303717,Lambert 93,Oui,Non Seveso,Non,E,E,Non,Non,,Non concernée,,,,,,,,,,,-,,,,"Indic.Région5,a_PPC_2017",7.343754687285169,43.74586963401506,1.0,1593.0,POINT (7.343754687285169 43.74586963401506)
5,PROVENCE-ALPES-COTE D'AZUR,DREAL PACA,UD 06,Pôle DACEN,ICPE,6409802,-,A SUPPRIMER,,"1022, route départementale 6202",,,06670,Castagniers,UT06@DREAL.COM,1040420,6308362,Lambert 93,Oui,Non Seveso,Non,A,E,Non,Non,,,,,,,,,,,,,-,,,,"a_PPC_2017,Indic.Région5",7.230914780220574,43.79217430021027,1.0,1563.0,POINT (7.230914780220574 43.79217430021027)
6,PROVENCE-ALPES-COTE D'AZUR,DREAL PACA,UD 04-05,Pôle Risque,ICPE,6406228,-,A SUPPRIMER (doublon) SYDEVOM,SYDEVOM (ex Commune de Banon),RD 51 - lieu-dit LE SERRE,,,04150,Banon,contact@sydevom04.fr,912736,6329219,Lambert 93,Oui,Non Seveso,Non,A,E,Non,Non,,,,,,,,,,,,,-,,,,"Indic.Région5,a_PPC_2017",5.654250546851952,44.029790503846066,2.0,900.0,POINT (5.654250546851952 44.029790503846066)
7,PROVENCE-ALPES-COTE D'AZUR,DREAL PACA,UD 04-05,Pôle Territorial 04,ICPE,6413174,21040022200019,A SUPPRIMER ISDI Barrême,A SUPPRIMER ISDI Barrême,MAIRIE,Site à proximité de la déchetterie,,04330,Barrême,dupont@gmail.com,971250,6322154,Lambert 93,Oui,Non Seveso,Non,E,E,Non,Non,,Non concernée,,,,,,,,,,,-,,,,"a_PPC_2017,Indic.Région5",6.379747346465201,43.94613602723709,1.0,1249.0,POINT (6.379747346465201 43.94613602723709)
8,PROVENCE-ALPES-COTE D'AZUR,DREAL PACA,UD 04-05,Pôle Territorial 04,ICPE,6413183,20007230400013,A SUPPRIMER.CCVUSP Ubbaye Serre Ponçon,A SUPPRIMER.CCVUSP Ubbaye Serre Ponçon,CC VALLEE DE L UBAYE SERRE PONCON,4 avenue des trois frères Arnaud,,04400,Barcelonnette,greg@laposte.net,965533,6377619,Lambert 93,Oui,Non Seveso,Non,E,E,Non,Non,,Non concernée,,,,,,,,,,,-,,,,"a_PPC_2017,Indic.Région5",6.337794598814195,44.44710442347877,1.0,1237.0,POINT (6.337794598814195 44.44710442347877)
9,PROVENCE-ALPES-COTE D'AZUR,DREAL PACA,SPR,Unité ICPE,ICPE,6414182,-,A SUPRRIMER,,OB958 et OC973,,,05230,La Bâtie-Neuve,Arenseigner@acompleter.fr,954775,6391468,Lambert 93,Oui,Non Seveso,Non,E,E,Non,Non,,Non concernée,,,,,,,,,,,-,,,,"a_PPC_2017,Indic.Région5",6.209789005826725,44.57568286091235,1.0,1192.0,POINT (6.209789005826725 44.57568286091235)
