Nom_usuel,Service_AI,Sous-servi,Equipe_AIO,Code_posta,Adresse_si,Commune_si,NOM_COMM,insee,Code_AIOT,latitude,longitude,result_lab,result_sco,result_s_1,result_typ,result_id,result_hou,result_nam,result_str,result_pos,result_cit,result_con,result_c_1,result_old,result_o_1,result_dis,result_sta,Distance,Statut_IED,Statut_Sev,nb_points,groupe_id
Station GEANT CASINO (FLOREAL)  Aix,DREAL PACA,UD 13,Equipe Aix en Provence,"13080",Route de Berre Hypermarch̩ G̩ant Casino,AIX-EN-PROVENCE,AIX-EN-PROVENCE,"13001","6405560",43.491515758723722,5.414424804954294,Chemin de la Commanderie Saint-Jean de Malte 13080 Aix-en-Provence,0.390118091660406,"0.3658550892098555",street,13001_0697,,Chemin de la Commanderie Saint-Jean de Malte,Chemin de la Commanderie Saint-Jean de Malte,"13080",Aix-en-Provence,"13, Bouches-du-Rh̫ne, Provence-Alpes-C̫te d'Azur","13001",,,,ok,9216.883889507267668,Non,Non Seveso,"2","612"
Inconnu (plainte D) MASSIF DE L'ARBOIS,DREAL PACA,UD 13,P̫le D̩chet Mat̩riau,"13290","-",AIX-EN-PROVENCE,AIX-EN-PROVENCE,"13001","6414110",43.501340267772285,5.328133445798398,Route de la Tour d'Arbois 13290 Aix-en-Provence,0.531245353535354,,street,13001_2975,,Route de la Tour d'Arbois,Route de la Tour d'Arbois,"13290",Aix-en-Provence,"13, Bouches-du-Rh̫ne, Provence-Alpes-C̫te d'Azur","13001",,,,ok,34.726935156000280,Non,Non Seveso,"3","521"
LA PIECE AUTOMOBILE 13 (ex HUGUET A WAY),DREAL PACA,UD 13,P̫le D̩chet Mat̩riau,"13080",955 chemin de la Valette Plan d'Aillane (Les Milles),AIX-EN-PROVENCE,AIX-EN-PROVENCE,"13001","6402297",43.492015492941555,5.414200327190800,Chemin de la Commanderie Saint-Jean de Malte 13080 Aix-en-Provence,0.395145686944634,"0.36961334310850436",street,13001_0697,,Chemin de la Commanderie Saint-Jean de Malte,Chemin de la Commanderie Saint-Jean de Malte,"13080",Aix-en-Provence,"13, Bouches-du-Rh̫ne, Provence-Alpes-C̫te d'Azur","13001",,,,ok,3833.372239854325926,Non,Non Seveso,"2","612"
METROPOLE AMP  ISDND ARBOIS,DREAL PACA,UD 13,P̫le D̩chet Mat̩riau,"13626",TERRITOIRE PAYS D'AIX CS 40686,AIX-EN-PROVENCE,AIX-EN-PROVENCE,"13001","6401122",43.502470605376288,5.328629980492124,Route de la Tour d'Arbois 13290 Aix-en-Provence,0.360919647495362,,street,13001_2975,,Route de la Tour d'Arbois,Route de la Tour d'Arbois,"13290",Aix-en-Provence,"13, Bouches-du-Rh̫ne, Provence-Alpes-C̫te d'Azur","13001",,,,ok,4325.497316433323249,Oui,Non Seveso,"3","521"
SPA,DDPP 13,SPAE 13,SPAE,"13090",9015 Maison du R̩altor Route dela Tour d'Arbois,AIX-EN-PROVENCE,AIX-EN-PROVENCE,"13001","6411436",43.501550878055120,5.327130996545214,Route de la Tour d'Arbois 13290 Aix-en-Provence,0.546677452300786,"0.40387311411992255",street,13001_2975,,Route de la Tour d'Arbois,Route de la Tour d'Arbois,"13290",Aix-en-Provence,"13, Bouches-du-Rh̫ne, Provence-Alpes-C̫te d'Azur","13001",,,,ok,3624.188435229953939,Non,Non Seveso,"3","521"
APTUNION,DREAL PACA,UD 84,Unit̩ risques chroniques,"84400",Quartier Salignan - CS 90137,APT,APT,"84003","6400455",43.883255523854423,5.353121339484408,Quartier Salignan 84400 Apt,0.524239090909091,,street,84003_cpt5zy,,Quartier Salignan,Quartier Salignan,"84400",Apt,"84, Vaucluse, Provence-Alpes-C̫te d'Azur","84003",,,,ok,561.080840825960763,Non,Non Seveso,"3","534"
Entrep̫t DELTA PLUS SERVICE,DREAL PACA,UD 84,Unit̩ risques accidentels,"84400",ZI la peyroli̬re. BP 140.,APT,APT,"84003","6401658",43.884292790072067,5.361163736639566,Zone Industrielle la Peyroliere 84400 Apt,0.359621047180667,,street,84003_ba6c7t,,Zone Industrielle la Peyroliere,Zone Industrielle la Peyroliere,"84400",Apt,"84, Vaucluse, Provence-Alpes-C̫te d'Azur","84003",,,,ok,199.995199286896508,Non,Non Seveso,"2","544"
EUROSILICONE SAS,DREAL PACA,UD 84,Unit̩ risques chroniques,"84400",ZI de la peyroli̬re,APT,APT,"84003","6403671",43.882853984135522,5.360529947731974,Zone Industrielle la Peyroliere 84400 Apt,0.432441818181818,,street,84003_ba6c7t,,Zone Industrielle la Peyroliere,Zone Industrielle la Peyroliere,"84400",Apt,"84, Vaucluse, Provence-Alpes-C̫te d'Azur","84003",,,,ok,908.472401626316923,Non,Non Seveso,"2","544"
FERT DEMOLITION (ex LAVAGNE),DREAL PACA,UD 84,Unit̩ risques accidentels,"84400",quartier Salignan,APT,APT,"84003","6400478",43.884725231376322,5.353966788782058,Quartier Salignan 84400 Apt,0.452128151001541,,street,84003_cpt5zy,,Quartier Salignan,Quartier Salignan,"84400",Apt,"84, Vaucluse, Provence-Alpes-C̫te d'Azur","84003",,,,ok,633.454390434489710,Non,Non Seveso,"3","534"
FRULACT FRANCE (ex FRUPREP),DREAL PACA,UD 84,Unit̩ risques chroniques,"84400",Quartier Salignan Route de la Charit̩,APT,APT,"84003","6409429",43.883107018099437,5.353285226729934,Quartier Salignan 84400 Apt,0.354542121212121,,street,84003_cpt5zy,,Quartier Salignan,Quartier Salignan,"84400",Apt,"84, Vaucluse, Provence-Alpes-C̫te d'Azur","84003",,,,ok,796.700930205818281,Non,Non Seveso,"3","534"
AGROFINO,DREAL PACA,SPR,Unit̩ ICPE,"13104",Chemin des S̩gonnaux Zone Portuaire,ARLES,ARLES,"13004","6402309",43.695591097746501,4.629296453481928,Chemin des S̩gonnaux 13200 Arles,0.459598181818182,"0.28279143658810324",street,13004_zvtwsu,,Chemin des S̩gonnaux,Chemin des S̩gonnaux,"13200",Arles,"13, Bouches-du-Rh̫ne, Provence-Alpes-C̫te d'Azur","13004",,,,ok,833.405841100416183,Non,Non Seveso,"2","8"
COMMUNE D'ARLES,DREAL PACA,UD 84,Unit̩ d̩chets,"13200",29 Avenue de Camargue,ARLES,ARLES,"13004","6413607",43.675443705453496,4.612984564194172,Avenue de la Camargue 13200 Arles,0.526040845295056,"0.4314503751803751",street,13004_0670,,Avenue de la Camargue,Avenue de la Camargue,"13200",Arles,"13, Bouches-du-Rh̫ne, Provence-Alpes-C̫te d'Azur","13004",,,,ok,638.089253805898011,Non,Non Seveso,"2","4"
IMERYS PCC France  (ex Solvay SF ex-CCP),DREAL PACA,UD 84,Unit̩ risques chroniques,"13129",Route d'Arles salin de giraud,ARLES,ARLES,"13004","6400913",43.629201353663312,4.618071208471400,Route de Salin de Giraud 13129 Arles,0.422541818181818,,street,13004_4354,,Route de Salin de Giraud,Route de Salin de Giraud,"13129",Arles,"13, Bouches-du-Rh̫ne, Provence-Alpes-C̫te d'Azur","13004",,,,ok,25242.355544754627772,Oui,Non Seveso,"2","6"
M2I,DREAL PACA,UD 84,Unit̩ risques accidentels,"13129",Route d'Arles SALIN DE GIRAUD,ARLES,ARLES,"13004","6401200",43.630658988356650,4.617298984954650,Route de Salin de Giraud 13129 Arles,0.635828531468531,,street,13004_4354,,Route de Salin de Giraud,Route de Salin de Giraud,"13129",Arles,"13, Bouches-du-Rh̫ne, Provence-Alpes-C̫te d'Azur","13004",,,,ok,25164.288724873113097,Oui,Seveso seuil bas,"2","6"
SETHELEC SNC,DREAL PACA,UD 84,Unit̩ risques chroniques,"13104",29 bis  Avenue de Camargue BP 50230,ARLES,ARLES,"13004","6401555",43.677083680507131,4.612929420014188,Avenue de la Camargue 13200 Arles,0.419252134387352,"0.3160102597402597",street,13004_0670,,Avenue de la Camargue,Avenue de la Camargue,"13200",Arles,"13, Bouches-du-Rh̫ne, Provence-Alpes-C̫te d'Azur","13004",,,,ok,478.855328442007817,Oui,Non Seveso,"2","4"
