Nom_usuel,Service_AI,Sous-servi,Equipe_AIO,Code_posta,Adresse_si,Commune_si,NOM_COMM,insee,Code_AIOT,latitude,longitude,result_lab,result_sco,result_s_1,result_typ,result_id,result_hou,result_nam,result_str,result_pos,result_cit,result_con,result_c_1,result_old,result_o_1,result_dis,result_sta,Distance,Statut_IED,Statut_Sev,nb_points,groupe_id,X,Y
DECHT Queyras,DREAL PACA,UD 04-05,PA'le Territorial 05,"05470","-",AIGUILLES,AIGUILLES,"05003","6410072",44.781402000000000,6.869223000000000,Rue des Jardins 05470 Aiguilles,"0.413220202020202","0.40217392649903283",street,05003_0182,,Rue des Jardins,Rue des Jardins,"05470",Aiguilles,"05, Hautes-Alpes, Provence-Alpes-CA'te d'Azur","05003",,,,ok,1927.261269033760527,Non,Non Seveso,"1","1171",1005959.587941179750487,6416637.256206645630300
APEE Chaufferie Biomasse Aix,DREAL PACA,UD 13,PA'le Chronique Risque,"13090",ZUP Encagnane 43 avenue Jean Giono,AIX-EN-PROVENCE,AIX-EN-PROVENCE,"13001","6400007",43.515234999999997,5.437165000000000,Avenue Jean Giono 13090 Aix-en-Provence,"0.44737656565656564",,street,13001_1147,,Avenue Jean Giono,Avenue Jean Giono,"13090",Aix-en-Provence,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13001",,,,ok,447.780193354278595,Non,Non Seveso,"1","629",897107.161152864806354,6271503.807437519542873
CARREFOUR Aix (La Pioline),DREAL PACA,UD 13,Equipe Aix en Provence,"13100",Centre commercial la Pioline 1175  venue Guillaume du Vair,AIX-EN-PROVENCE,AIX-EN-PROVENCE,"13001","6400003",43.507890000000003,5.403897000000000,Rue Guillaume du Vair 13290 Aix-en-Provence,"0.3697856234915527","0.35175329847144005",street,13001_1343,,Rue Guillaume du Vair,Rue Guillaume du Vair,"13290",Aix-en-Provence,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13001",,,,ok,2431.876340718238225,Non,Non Seveso,"1","605",894442.278528281138279,6270605.332327758893371
CARREFOUR STATION SERVICE,DREAL PACA,UD 13,Equipe Aix en Provence,"13100",ZAC de la Pioline BP 11,AIX-EN-PROVENCE,AIX-EN-PROVENCE,"13001","6413958",43.527745000000003,5.445807000000000,Rue de la Couronne 13100 Aix-en-Provence,"0.43025274944567626","0.4165248951048951",street,13001_0740,,Rue de la Couronne,Rue de la Couronne,"13100",Aix-en-Provence,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13001",,,,ok,4477.100460297941027,Non,Non Seveso,"1","636",897762.803821153705940,6272915.192285544238985
Centre Transfert DA(c)chets - Aix La Parade,DREAL PACA,UD 13,PA'le DA(c)chet MatA(c)riau,"13080",Ch du ChAC/teau Lafarge. Rte des Milles,AIX-EN-PROVENCE,AIX-EN-PROVENCE,"13001","6406563",43.508172999999999,5.416005000000000,Chemin du ChAC/teau Lafarge 13090 Aix-en-Provence,"0.4037377909940526","0.40237314456035767",street,13001_0639,,Chemin du ChAC/teau Lafarge,Chemin du ChAC/teau Lafarge,"13090",Aix-en-Provence,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13001",,,,ok,125.349453067650487,Non,Non Seveso,"1","615",895420.382431569742039,6270666.662919940426946
EAST BALT AIX,DREAL PACA,UD 13,PA'le Chronique Risque,"13080",Quartier de l'Enfant - les Trois Pigeons Rue Henri Delaunay,AIX-EN-PROVENCE,AIX-EN-PROVENCE,"13001","6409692",43.485284000000000,5.409781000000000,Avenue Henri Rodari 13080 Aix-en-Provence,"0.34885701298701294",,street,13001_1354,,Avenue Henri Rodari,Avenue Henri Rodari,"13080",Aix-en-Provence,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13001",,,,ok,1452.437368111221076,Non,Non Seveso,"1","606",894994.734172839438543,6268108.389229097403586
EASYDIS  Aix 1 entrepA't,DREAL PACA,UD 13,PA'le Chronique Risque,"13080",Rue Jean Perrin ZI LES MILLES 11  Avenue Jean Perrin BP 63 000,AIX-EN-PROVENCE,AIX-EN-PROVENCE,"13001","6402675",43.487166000000002,5.420084000000000,11 Chemin de la Commanderie Saint-Jean de Malte 13080 Aix-en-Provence,"0.35448588235294115","0.34912756548536206",housenumber,13001_0697_00011,"11",11 Chemin de la Commanderie Saint-Jean de Malte,Chemin de la Commanderie Saint-Jean de Malte,"13080",Aix-en-Provence,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13001",,,,ok,3539.977955287098666,Non,Non Seveso,"1","619",895821.762005591532215,6268342.971003601327538
Easydis AIX 2,DREAL PACA,UD 13,PA'le Chronique Risque,"13290","Zone industrielle des milles 77 rue AndrA(c) AmpA""re",AIX-EN-PROVENCE,AIX-EN-PROVENCE,"13001","6412340",43.486170000000001,5.380063000000000,"Rue AndrA(c) AmpA""re 13100 Aix-en-Provence","0.4123603496503496","0.3842006060606061",street,13001_2gx136,,"Rue AndrA(c) AmpA""re","Rue AndrA(c) AmpA""re","13100",Aix-en-Provence,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13001",,,,ok,685.243637173546290,Non,Non Seveso,"1","582",892587.777110282098874,6268133.887653684243560
Station ESSO - Les Tourelles - Aix,DREAL PACA,UD 13,Equipe Aix en Provence,"13080",Avenue Henri MALACRIDA,AIX-EN-PROVENCE,AIX-EN-PROVENCE,"13001","6405585",43.514446000000000,5.469480000000000,Avenue Henri Malacrida 13100 Aix-en-Provence,"0.5199272727272727","0.45792019342359763",street,13001_1376,,Avenue Henri Malacrida,Avenue Henri Malacrida,"13100",Aix-en-Provence,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13001",,,,ok,595.340023305827572,Non,Non Seveso,"1","645",899722.551489718258381,6271497.355146885849535
Station GEANT CASINO (FLOREAL)  Aix,DREAL PACA,UD 13,Equipe Aix en Provence,"13080",Route de Berre HypermarchA(c) GA(c)ant Casino,AIX-EN-PROVENCE,AIX-EN-PROVENCE,"13001","6405560",43.491415000000003,5.413532000000000,Chemin de la Commanderie Saint-Jean de Malte 13080 Aix-en-Provence,"0.3901180916604057","0.3658550892098555",street,13001_0697,,Chemin de la Commanderie Saint-Jean de Malte,Chemin de la Commanderie Saint-Jean de Malte,"13080",Aix-en-Provence,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13001",,,,ok,9216.883889507267668,Non,Non Seveso,"2","612",895277.337452906416729,6268798.795746829360723
GCSPA (ex-SIHPA),DREAL PACA,UD 13,Equipe Aix en Provence,"13617",C.H. Montperrin 109  Avenue du Petit BarthA(c)lA(c)my,AIX-EN-PROVENCE,AIX-EN-PROVENCE,"13001","6402671",43.522452000000001,5.438208000000000,109 Avenue du Petit BarthA(c)lA(c)my 13090 Aix-en-Provence,"0.5456003030303029","0.37351744142455484",housenumber,13001_2261_00109,"109",109 Avenue du Petit BarthA(c)lA(c)my,Avenue du Petit BarthA(c)lA(c)my,"13090",Aix-en-Provence,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13001",,,,ok,205.790949321705398,Non,Non Seveso,"1","632",897166.722843063995242,6272308.174146037548780
HELION,DREAL PACA,UD 13,Equipe Aix en Provence,"13080",Domaine du Petit Arbois BAC/timent Jules Verne - BP 71,AIX-EN-PROVENCE,AIX-EN-PROVENCE,"13001","6404644",43.489282000000003,5.418383000000000,AllA(c)e du Moulin A  vent 13080 Aix-en-Provence,"0.42278308691308686","0.3927891096532333",street,13001_2042,,AllA(c)e du Moulin A  vent,AllA(c)e du Moulin A  vent,"13080",Aix-en-Provence,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13001",,,,ok,6851.963748414039401,Non,Non Seveso,"1","617",895676.966097857803106,6268573.835174117237329
Inconnu (plainte D) MASSIF DE L'ARBOIS,DREAL PACA,UD 13,PA'le DA(c)chet MatA(c)riau,"13290","-",AIX-EN-PROVENCE,AIX-EN-PROVENCE,"13001","6414110",43.502167999999998,5.327784000000000,Route de la Tour d'Arbois 13290 Aix-en-Provence,"0.5312453535353535",,street,13001_2975,,Route de la Tour d'Arbois,Route de la Tour d'Arbois,"13290",Aix-en-Provence,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13001",,,,ok,34.726935156000280,Non,Non Seveso,"3","521",888306.339981412980705,6269785.162281293421984
LA PIECE AUTOMOBILE 13 (ex HUGUET A WAY),DREAL PACA,UD 13,PA'le DA(c)chet MatA(c)riau,"13080",955 chemin de la Valette Plan d'Aillane (Les Milles),AIX-EN-PROVENCE,AIX-EN-PROVENCE,"13001","6402297",43.491415000000003,5.413532000000000,Chemin de la Commanderie Saint-Jean de Malte 13080 Aix-en-Provence,"0.39514568694463426","0.36961334310850436",street,13001_0697,,Chemin de la Commanderie Saint-Jean de Malte,Chemin de la Commanderie Saint-Jean de Malte,"13080",Aix-en-Provence,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13001",,,,ok,3833.372239854325926,Non,Non Seveso,"2","612",895277.337452906416729,6268798.795746829360723
LES MILLES PIECES AUTO,DREAL PACA,UD 13,PA'le DA(c)chet MatA(c)riau,"13080",900  avenue Georges Claude,AIX-EN-PROVENCE,AIX-EN-PROVENCE,"13001","6406502",43.486103000000000,5.381956000000000,900 Rue Georges Claude 13100 Aix-en-Provence,"0.5141735327963176","0.41750038815117463",housenumber,13001_3jfava_00900,"900",900 Rue Georges Claude,Rue Georges Claude,"13100",Aix-en-Provence,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13001",,,,ok,77.681332306114058,Non,Non Seveso,"1","584",892741.131329220137559,6268131.062867452390492
METROPOLE AMP  ISDND ARBOIS,DREAL PACA,UD 13,PA'le DA(c)chet MatA(c)riau,"13626",TERRITOIRE PAYS D'AIX CS 40686,AIX-EN-PROVENCE,AIX-EN-PROVENCE,"13001","6401122",43.502167999999998,5.327784000000000,Route de la Tour d'Arbois 13290 Aix-en-Provence,"0.36091964749536176",,street,13001_2975,,Route de la Tour d'Arbois,Route de la Tour d'Arbois,"13290",Aix-en-Provence,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13001",,,,ok,4325.497316433323249,Oui,Non Seveso,"3","521",888306.339981412980705,6269785.162281293421984
CARRIERE SN ECT,DREAL PACA,UD 13,PA'le DA(c)chet MatA(c)riau,"13547",1620 chemin de la couronnade CS 60661,AIX-EN-PROVENCE,AIX-EN-PROVENCE,"13001","6400018",43.513488000000002,5.367242000000000,1620 Chemin de la Couronnade 13290 Aix-en-Provence,"0.5515681818181818",,housenumber,13001_0737_01620,"1620",1620 Chemin de la Couronnade,Chemin de la Couronnade,"13290",Aix-en-Provence,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13001",,,,ok,45.992489138603638,Ex IED - MTD,Non Seveso,"1","560",891459.636806662310846,6271137.681314188987017
SPA,DDPP 13,SPAE 13,SPAE,"13090",9015 Maison du RA(c)altor Route dela Tour d'Arbois,AIX-EN-PROVENCE,AIX-EN-PROVENCE,"13001","6411436",43.502167999999998,5.327784000000000,Route de la Tour d'Arbois 13290 Aix-en-Provence,"0.5466774523007857","0.40387311411992255",street,13001_2975,,Route de la Tour d'Arbois,Route de la Tour d'Arbois,"13290",Aix-en-Provence,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13001",,,,ok,3624.188435229953939,Non,Non Seveso,"3","521",888306.339981412980705,6269785.162281293421984
STE AIXOISE POUR LA PROTECTION ANIMAUX,DDPP 13,SPAE 13,SPAE,"13090",ROUTE DE MARIGNANE C.D.9,AIX-EN-PROVENCE,AIX-EN-PROVENCE,"13001","6402816",43.520857999999997,5.443967000000000,Rue de la Reine Astrid 13090 Aix-en-Provence,"0.38664623376623375","0.3860337480063796",street,13001_2593,,Rue de la Reine Astrid,Rue de la Reine Astrid,"13090",Aix-en-Provence,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13001",,,,ok,13160.876963133116078,Non,Non Seveso,"1","635",897637.760903823189437,6272145.488695325329900
Station TOTAL Access Pont de l'Arc,DREAL PACA,UD 13,Equipe Aix en Provence,"13090",292  avenue FortunA(c) Ferrini Relais du Pont de l'Arc,AIX-EN-PROVENCE,AIX-EN-PROVENCE,"13001","6405592",43.508744000000000,5.439496000000000,292 Avenue Fortune Ferrini 13100 Aix-en-Provence,"0.4280298564593301","0.319672582461786",housenumber,13001_1114_00292,"292",292 Avenue Fortune Ferrini,Avenue Fortune Ferrini,"13100",Aix-en-Provence,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13001",,,,ok,4.929308013260314,Non,Non Seveso,"1","633",897317.907591227674857,6270788.517092702910304
SYDEVOM de Allos,DREAL PACA,UD 04-05,PA'le Territorial 04,"04260",Zone Artisanale Lieudit La Digue,ALLOS,ALLOS,"04006","6406223",44.225054999999998,6.632362000000000,Plan Est Zone Artisanale 04260 Allos,"0.4006188888888889",,street,04006_0097,,Plan Est Zone Artisanale,Plan Est Zone Artisanale,"04260",Allos,"04, Alpes-de-Haute-Provence, Provence-Alpes-CA'te d'Azur","04006",,,,ok,71.579366151382118,Non,Non Seveso,"1","1111",990085.344754813588224,6354011.257741373032331
VAL D'ALLOS LOISIRS DEVELOPPEMENT,DREAL PACA,UD 04-05,PA'le Territorial 04,"04260","-",ALLOS,ALLOS,"04006","6409607",44.247940000000000,6.628072000000000,Lotissement Pelat 04260 Allos,"0.3490796238244514","0.33340969696969697",street,04006_A053,,Lotissement Pelat,Lotissement Pelat,"04260",Allos,"04, Alpes-de-Haute-Provence, Provence-Alpes-CA'te d'Azur","04006",,,,ok,1289.749994921735151,Non,Non Seveso,"1","1109",989626.203115424374118,6356535.303647074848413
CARRIERE communale d'Ancelle,DREAL PACA,UD 04-05,PA'le Territorial 05,"05260",ANCELLE,ANCELLE,ANCELLE,"05004","6405481",44.615724999999998,6.190135000000000,Rue de Cote Gelee 05260 Ancelle,"0.3466321356421356","0.326029020979021",street,05004_0240,,Rue de Cote Gelee,Rue de Cote Gelee,"05260",Ancelle,"05, Hautes-Alpes, Provence-Alpes-CA'te d'Azur","05004",,,,ok,3819.672101830390147,Non,Non Seveso,"1","970",953036.178456269903108,6395849.035300609655678
RESERVE BIOLOGIQUE DES MONTS D'AZUR,DDPP 06,SA,SA,"06750",Domaine du Haut Thorenc 2651 route des ChAC/teaux,THORENC,ANDON,"06003","6402920",43.805655000000002,6.845470000000000,2651 Route des ChAC/teaux 06750 Andon,"0.3398181818181818","0.2918196997497915",housenumber,06003_0142_02651,"2651",2651 Route des ChAC/teaux,Route des ChAC/teaux,"06750",Andon,"06, Alpes-Maritimes, Provence-Alpes-CA'te d'Azur","06003",,,,ok,173.735753042811865,Non,Non Seveso,"1","1165",1009359.884339288109913,6308272.187788350507617
Explo COZZI,DREAL PACA,UD 04-05,PA'le Territorial 04,"04240","-",ANNOT,ANNOT,"04008","6412829",43.967616000000000,6.637897000000000,Clot Ricoux 04240 Annot,"0.3831989898989899","0.3652357851239669",locality,04008_B031,,Clot Ricoux,,"04240",Annot,"04, Alpes-de-Haute-Provence, Provence-Alpes-CA'te d'Azur","04008",,,,ok,2483.197512515377639,Non,Non Seveso,"1","1113",991844.378687210264616,6325458.849350048229098
FAISSOLE SA (biscotterie),DREAL PACA,UD 04-05,PA'le Risque,"04240","Lieu-dit la RibiA""re Route du Fugeret",ANNOT,ANNOT,"04008","6407818",43.960642000000000,6.690966000000000,Pigeonnier et le Serre 04240 Annot,"0.2699980146290491","0.25426256684491977",locality,04008_B066,,Pigeonnier et le Serre,,"04240",Annot,"04, Alpes-de-Haute-Provence, Provence-Alpes-CA'te d'Azur","04008",,,,ok,2506.897051740519601,Non,Non Seveso,"1","1125",996134.882985093048774,6324882.354962364770472
FAISSOLE SA (pains grillA(c)s)SCI MAGALON,DREAL PACA,UD 04-05,PA'le Risque,"04240",Lieu-dit Magalon Route du Fugeret BP 55,ANNOT,ANNOT,"04008","6409495",43.983314999999997,6.697851000000000,"Route des PrA""s 04240 Annot","0.24359829428303653","0.23071258741258738",street,04008_8xhs47,,"Route des PrA""s","Route des PrA""s","04240",Annot,"04, Alpes-de-Haute-Provence, Provence-Alpes-CA'te d'Azur","04008",,,,ok,3358.564325812897096,Non,Non Seveso,"1","1132",996568.942824516328983,6327424.726586974225938
Domaine des marchands,DDPP 84,SSPAE 84,SSPAE,"84240",Lieu-dit Les Roumias Les castes,ANSOUIS,ANSOUIS,"84002","6409598",43.742460000000001,5.510755000000000,Chemin des Hautes Terres 84240 Ansouis,"0.320294556407448","0.3109986075949367",street,84002_idyfgr,,Chemin des Hautes Terres,Chemin des Hautes Terres,"84240",Ansouis,"84, Vaucluse, Provence-Alpes-CA'te d'Azur","84002",,,,ok,748.726875436131195,Non,Non Seveso,"1","668",902253.978103568428196,6296930.877746538259089
SCA DES COTEAUX,DDPP 84,SSPAE 84,SSPAE,"84240",Route de villelaure,ANSOUIS,ANSOUIS,"84002","6406604",43.740189999999998,5.468410000000000,Route de la Bonde 84240 Ansouis,"0.4252661941448381","0.4150334668721109",street,84002_qg7cxo,,Route de la Bonde,Route de la Bonde,"84240",Ansouis,"84, Vaucluse, Provence-Alpes-CA'te d'Azur","84002",,,,ok,706.531956952294195,Non,Non Seveso,"1","644",898851.880177327431738,6296571.188497724942863
AD AUTOMOBILE (ex n4),DREAL PACA,UD 06,PA'le DACEN,"06160",ZI des Terriers,ANTIBES,ANTIBES,"06004","6406976",43.601967999999999,7.082058000000000,AllA(c)e des Terriers 06600 Antibes,"0.47967658307210026","0.4384518777943368",street,06004_3391,,AllA(c)e des Terriers,AllA(c)e des Terriers,"06600",Antibes,"06, Alpes-Maritimes, Provence-Alpes-CA'te d'Azur","06004",,,,ok,3086.549282639104604,Non,Non Seveso,"1","1242",1029546.106557821040042,6286621.566963933408260
BENOIT RINO (Fischer),DREAL PACA,UD 06,PA'le DACEN,"06160",Voie Marie Fischer,ANTIBES,ANTIBES,"06004","6404774",43.599404000000000,7.084642000000000,Voie Marie Fischer 06600 Antibes,"0.5285412539184954","0.31667545454545454",street,06004_vctgkr,,Voie Marie Fischer,Voie Marie Fischer,"06600",Antibes,"06, Alpes-Maritimes, Provence-Alpes-CA'te d'Azur","06004",,,,ok,102.958242542321827,Non,Non Seveso,"1","1243",1029769.262102873763070,6286347.772219011560082
DA(c)chetterie Antibes (UNIVALOM),DREAL PACA,UD 06,PA'le DACEN,"06600",Rue Henri Laugier,ANTIBES,ANTIBES,"06004","6413962",43.605902999999998,7.075866000000000,Rue Henri Laugier 06600 Antibes,"0.47897678321678316",,street,06004_1571,,Rue Henri Laugier,Rue Henri Laugier,"06600",Antibes,"06, Alpes-Maritimes, Provence-Alpes-CA'te d'Azur","06004",,,,ok,246.487219865727610,Non,Non Seveso,"1","1241",1029024.104129728628322,6287032.497845730744302
MARINELAND SAS,DDPP 06,SA,SA,"06600",306 avenue de Mozart,ANTIBES,ANTIBES,"06004","6402569",43.614221000000001,7.125123000000000,306 Avenue Mozart 06600 Antibes,"0.5619623232323232",,housenumber,06004_2182_00306,"306",306 Avenue Mozart,Avenue Mozart,"06600",Antibes,"06, Alpes-Maritimes, Provence-Alpes-CA'te d'Azur","06004",,,,ok,180.532100950189715,Non,Non Seveso,"1","1257",1032948.503752616234124,6288162.180268549360335
MONACO MARINE,DREAL PACA,UD 06,PA'le ERASO,"06160",PORT VAUBAN,ANTIBES,ANTIBES,"06004","6413836",43.582996000000001,7.123088000000000,Rond-point Vauban 06600 Antibes,"0.4855272727272727","0.4501626499032882",locality,06004_3551,,Rond-point Vauban,,"06600",Antibes,"06, Alpes-Maritimes, Provence-Alpes-CA'te d'Azur","06004",,,,ok,30.967139793472246,Non,Non Seveso,"1","1256",1032965.528590177418664,6284687.973079873248935
RECORD FRANCE,DREAL PACA,UD 06,PA'le ERASO,"06600",ZI des Trois Moulins 544  Rue des Trois Moulins,ANTIBES,ANTIBES,"06004","6401175",43.603082999999998,7.075130000000000,544 Rue des Trois Moulins 06600 Antibes,"0.4906124165707709","0.4234951871657754",housenumber,06004_3487_00544,"544",544 Rue des Trois Moulins,Rue des Trois Moulins,"06600",Antibes,"06, Alpes-Maritimes, Provence-Alpes-CA'te d'Azur","06004",,,,ok,22.769159333078083,Non,Non Seveso,"1","1239",1028980.910985131864436,6286716.434001318179071
